category_id,category_name,category_description
1,Technical Issue,Problems related to product functionality, setup, hardware issues, software bugs, network problems, or peripheral compatibility
2,Billing Inquiry,Questions or issues related to billing, payments, invoices, charges, refunds, or account balance
3,Product Inquiry,General questions about products, features, specifications, availability, or compatibility
4,Refund Request,Requests for refunds, returns, or money back for purchased products or services
5,Cancellation Request,Requests to cancel orders, subscriptions, or services
6,Account Access,Issues with logging in, password reset, account recovery, or authentication problems
7,Installation Support,Help needed with installing, setting up, or configuring products or software
8,Data Loss,Issues related to lost data, missing files, or data recovery needs
9,Payment Issue,Problems with payment processing, failed transactions, or payment method issues
10,Battery Life,Concerns about battery performance, charging issues, or battery drain problems
11,Software Bug,Reported bugs, glitches, errors, or unexpected behavior in software
12,Hardware Issue,Physical problems with devices, broken parts, or hardware malfunctions
13,Network Problem,Issues with connectivity, Wi-Fi, internet connection, or network configuration
14,Peripheral Compatibility,Problems with connecting or using external devices, accessories, or peripherals
15,Product Setup,Assistance needed with initial product setup, configuration, or first-time use